Candidate_Name,Candidate_Class,Supporting_Signatures,Libraries,Library_Count,Best_Adjusted_P,Max_MinusLog10AdjP,Mean_MinusLog10AdjP,Max_Combined_Score,Mean_Combined_Score,Max_Overlap_Count,Total_Overlap_Count,Max_Anchor_Hit_Count,Max_Core8_Hit_Count,Anchor_Hits,Core8_Hits,Top_Term,Score_Significance,Score_Combined,Score_Overlap,Score_Reproducibility,Score_Library,Score_Anchor,Score_Core8,Raw_Priority_Score,Priority_Score_100
Etanercept,Biologic_or_immunomodulator,6,GEO drug perturbations (down),1,1.6641807062930498e-30,29.778799517297173,8.261088584096855,1515.51888688684,314.08362141247676,39,99,2,3,;GBP1;STAT1,;GBP1;IFI6;IFIT2;IFIT3;STAT1,Etanercept DB00005 human GSE36177 sample 2597,1,1,1,1,1,1,0.42857142857142855,0.942857142857143,94.29
Alfacalcidol,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,2.7006527554217897e-19,18.56853125294656,15.333434085962018,737.814662964476,543.876771282141,28,50,1,6,STAT1,IFI35;IFI6;IFIT3;IRF7;PARP9;STAT1,alfacalcidol 5282181 human GSE15947 sample 3364,0.6060887697176232,0.48070462960981836,0.6764705882352942,0.2,1,1,0.8571428571428571,0.5888832237814403,58.89
Adenosine Triphosphate,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,1.32724069277675e-14,13.877050311449132,7.713227235862427,433.615363169623,200.58894351721864,24,51,2,6,GBP1;STAT1,GBP1;IFI35;IFI6;IFIT2;IFIT3;IRF7;STAT1,adenosine triphosphate 5957 human GSE30903 sample 3219,0.4412374935542844,0.2775820500992153,0.5588235294117647,0.4,1,1,0.8571428571428571,0.5092427010394253,50.92
Plx4720 Cid,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,4.31460295642191e-13,12.365059163278726,12.365059163278726,401.946923188834,401.946923188834,21,21,1,7,STAT1,IFI35;IFI6;IFIT2;IFIT3;IRF7;PARP9;STAT1,PLX4720 CID 24180719 human GSE50791 sample 2507,0.38810849794889957,0.25643612628442486,0.47058823529411764,0,1,1,1,0.4317243913524487,43.17
Methotrexate,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,3.4269368549411797e-12,11.465093897847128,6.986874217731871,328.027783145877,184.34017468606808,21,30,1,5,;GBP1,GBP1;IFI35;IFI6;IFIT2;IFIT3,methotrexate DB00563 human GSE41831 sample 2601,0.35648513117855024,0.2070782007045285,0.47058823529411764,0.2,1,1,0.7142857142857143,0.41290763969345873,41.29
Arachidonic Acid,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.8753000249075698e-11,10.726929240609273,10.726929240609273,387.650052359375,387.650052359375,17,17,1,6,STAT1,IFI35;IFI6;IFIT2;IFIT3;IRF7;STAT1,Arachidonic acid DB04557 human GSE3737 sample 3171,0.33054718380505127,0.24688969641503325,0.35294117647058826,0,1,1,0.8571428571428571,0.3830146822398951,38.3
"1,25 Dihydroxyvitamin D",Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.58447180927643e-11,10.800115483317859,10.800115483317859,330.178461848352,330.178461848352,19,19,1,6,STAT1,IFI35;IFI6;IFIT3;IRF7;PARP9;STAT1,"1,25 dihydroxyvitamin D 5280453 human GSE15947 sample 2493",0.3331188334948951,0.20851427043263063,0.4117647058823529,0,1,1,0.8571428571428571,0.3828872675785201,38.29
Curcumin,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,3.53284502757733e-9,8.451875412988072,6.143411560174279,201.336065390621,146.18143418333557,18,43,2,5,GBP1;STAT1,GBP1;IFI35;IFI6;IFIT2;IFIT3;STAT1,curcumin 969516 human GSE10896 sample 3407,0.2506053634075167,0.12248251448686992,0.38235294117647056,0.4,1,1,0.7142857142857143,0.38205348207863865,38.21
Imatinib,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,4.58887670443174e-10,9.33829361092689,9.33829361092689,217.174304295678,217.174304295678,20,20,2,6,GBP1;STAT1,GBP1;IFI35;IFIT2;IFIT3;IRF7;STAT1,imatinib DB00619 human GSE28698 sample 2524,0.2817527074907222,0.13305815993861791,0.4411764705882353,0,1,1,0.8571428571428571,0.355593473159856,35.56
Curcumin Cid,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,8.74012481196295e-8,7.058482365448006,5.040188014079008,129.639669839148,88.06530308105665,19,30,1,6,STAT1,IFI35;IFI6;IFIT2;IFIT3;IRF7;STAT1,Curcumin CID 969516 human GSE10896 sample 3259,0.2016437188972894,0.07460877902512209,0.4117647058823529,0.2,1,1,0.8571428571428571,0.3465421160772415,34.65
Resveratrol,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,6.68490015027246e-5,4.174905075239625,2.3939484267393523,70.9786808889044,36.6204910663688,13,30,1,3,;STAT1,IFIT2;IFIT3;PARP9;STAT1,resveratrol DB02709 human GSE25412 sample 3500,0.10031933921117096,0.03543915766093095,0.23529411764705882,0.4,1,1,0.42857142857142855,0.27209088472222714,27.21
Estradiol,Candidate_drug_or_compound,4,GEO drug perturbations (down),1,0.00149575364336996,2.8251399306262854,2.1561503596972798,50.0317967001132,36.45187961076957,9,32,1,3,;GBP1,GBP1;IFI6;IFIT2;IFIT3,estradiol DB00783 human GSE24592 sample 2732,0.05289071072796933,0.021452323529470126,0.11764705882352941,0.6,1,1,0.42857142857142855,0.2690899602450321,26.91
Ursodeoxycholic Acid,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,3.87677081260033e-6,5.4115298729069234,5.4115298729069234,110.739861212511,110.739861212511,14,14,1,5,STAT1,IFIT2;IFIT3;IRF7;PARP9;STAT1,ursodeoxycholic acid 31401 mouse GSE21266 sample 2492,0.143772393496758,0.06198883583955854,0.2647058823529412,0,1,1,0.7142857142857143,0.26257476111559175,26.26
Citalopram,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,5.27850730735905e-5,4.2774888728884175,4.2774888728884175,81.3573865190137,81.3573865190137,12,12,1,4,STAT1,IFI35;IFI6;IFIT3;STAT1,citalopram DB00215 human GSE7036 sample 3292,0.10392397283687796,0.04236931647783394,0.20588235294117646,0,1,1,0.5714285714285714,0.2245985324127116,22.46
Vitamin D3,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,4.4355223937475e-4,3.3530552237778184,3.3530552237778184,55.9774386320225,55.9774386320225,11,11,1,4,GBP1,GBP1;IFIT2;IFIT3;IRF7,Vitamin D3 DB00136 human GSE5145 sample 3170,0.07144082547156581,0.025422398828362235,0.17647058823529413,0,1,1,0.5714285714285714,0.20782925145313325,20.78
"2,3-Dimethoxy-1,4-Naphtoquinone (Dmnq)",Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.3927584079538e-4,3.856124211064953,3.856124211064953,65.6374276627946,65.6374276627946,12,12,1,3,GBP1,GBP1;IFI6;IFIT2,"2,3-dimethoxy-1,4-naphtoquinone (DMNQ) 3136 human GSE39843 sample 3681",0.08911788002782123,0.0318726500002019,0.20588235294117646,0,1,1,0.42857142857142855,0.20398712830532512,20.4
Carbidopa,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,2.04673995096811e-5,4.688937333221199,4.688937333221199,98.7352480418447,98.7352480418447,12,12,1,2,STAT1,IFIT3;STAT1,carbidopa DB00190 mouse GSE47099 sample 3293,0.11838162589080907,0.05397301201978934,0.20588235294117646,0,1,1,0.2857142857142857,0.20254244099025465,20.25
Formaldehyde 712 Rat,Candidate_drug_or_compound,4,GEO drug perturbations (down),1,0.00490721556054945,2.309164864232056,2.088975218528261,32.4430945907435,28.902710017854027,10,38,0,2,,IFI35;IFIT2;IFIT3,formaldehyde 712 rat GSE7002 sample 3548,0.03476015681029681,0.009707843693033614,0.14705882352941177,0.6,1,0,0.2857142857142857,0.20174725222667295,20.17
Celecoxib,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,5.9145383587611e-4,3.228079147243442,3.228079147243442,48.1165662742988,48.1165662742988,12,12,1,3,STAT1,IFI6;IFIT3;STAT1,celecoxib DB00482 human GSE11237 sample 3296,0.06704936231451776,0.020173469354884697,0.20588235294117646,0,1,1,0.42857142857142855,0.1955452037156699,19.55
Anastrozole,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,2.98340911602905e-5,4.525287187586354,4.525287187586354,71.5965711669299,71.5965711669299,15,15,0,4,,IFI35;IFI6;IFIT2;IFIT3,anastrozole DB01217 human GSE33658 sample 3087,0.11263121665145924,0.03585174068532221,0.29411764705882354,0,1,0,0.5714285714285714,0.18838124353587604,18.84
Vx,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,4.4355223937475e-4,3.3530552237778184,3.3530552237778184,51.2786841353461,51.2786841353461,12,12,1,1,GBP1,GBP1,VX 39793 human GSE33606 sample 3376,0.07144082547156581,0.02228490595939244,0.20588235294117646,0,1,1,0.14285714285714285,0.16859950008463032,16.86
Quercetin,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,0.00684143495579378,2.1648527976917786,1.858223011230451,29.2952133131016,26.293124898559732,10,26,0,1,,;IFIT2;IFIT3,quercetin DB04216 mouse GSE4262 sample 3429,0.02968925731574614,0.007605913262756621,0.14705882352941177,0.4,1,0,0.14285714285714285,0.15566833045975176,15.57
Pyrazinamide,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,1.3927584079538e-4,3.856124211064953,2.9200442302776892,66.0249791016941,50.6418268918855,12,19,0,1,,IFIT2,pyrazinamide 1046 mouse GSE48027 sample 3326,0.08911788002782123,0.0321314291887648,0.20588235294117646,0.2,1,0,0.14285714285714285,0.15548039453103726,15.55
Rituximab,Biologic_or_immunomodulator,1,GEO drug perturbations (down),1,0.0310530456666686,1.5078957980200867,1.5078957980200867,20.2043488957012,20.2043488957012,8,8,2,2,GBP1;STAT1,GBP1;STAT1,rituximab DB00073 human GSE24742 sample 2514,0.006604819559136762,0.0015356828852087013,0.08823529411764706,0,1,1,0.2857142857142857,0.143841848300162,14.38
Irinotecan,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.3135518115059e-4,3.8815527923051403,3.8815527923051403,61.8294435435851,61.8294435435851,13,13,0,2,,IFIT2;PARP9,irinotecan DB00762 rat GSE11722 sample 2769,0.09001140045788186,0.029329950008614575,0.23529411764705882,0,1,0,0.2857142857142857,0.1437008838351115,14.37
Calcitonin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0161550789180416,1.7916909160996781,1.7916909160996781,22.185532075665,22.185532075665,10,10,1,1,STAT1,STAT1,Calcitonin 16132288 mouse GSE60761 sample 3447,0.0165769345411095,0.002858575601492577,0.14705882352941177,0,1,1,0.14285714285714285,0.14120341535077657,14.12
Chlorpyrifos,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0250596012899812,1.6010258431159528,1.6010258431159528,24.9010673110096,24.9010673110096,7,7,1,2,STAT1,IFI6;STAT1,Chlorpyrifos 2730 human GSE5023 sample 3571,0.009877263159494342,0.004671816204370717,0.058823529411764705,0,1,1,0.2857142857142857,0.14103222782415953,14.1
Sunitinib,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,3.2391514191295e-4,3.489568749749831,3.489568749749831,51.1311761987853,51.1311761987853,13,13,0,2,,IFIT3;IRF7,sunitinib 5329102 rat GSE6929 sample 2491,0.07623769649175595,0.022186410688059727,0.23529411764705882,0,1,0,0.2857142857142857,0.13847157301344132,13.85
Plx4032,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,0.00291998527217815,2.534619339040585,2.035862125134519,34.548115611189,27.710539767297696,11,19,0,1,,;IFIT3,PLX4032 DB05238 human GSE24862 sample 2567,0.04268227316382899,0.011113426479993617,0.17647058823529413,0.2,1,0,0.14285714285714285,0.13420522743196406,13.42
Cyclosporine,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00427170718760734,2.3693985245105655,2.3693985245105655,33.7883783099722,33.7883783099722,10,10,0,2,,IFI35;IFIT3,cyclosporine DB00091 mouse GSE1809 sample 3299,0.036876673084949296,0.01060612813815769,0.14705882352941177,0,1,0,0.2857142857142857,0.11250095240661709,11.25
Oprelvekin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,6.4753491926121e-4,3.1887368066543638,3.1887368066543638,56.3435846263275,56.3435846263275,10,10,0,1,,IFIT3,Oprelvekin DB00038 human GSE8762 sample 3297,0.06566693422107821,0.025666884988885492,0.14705882352941177,0,1,0,0.14285714285714285,0.10917799261761699,10.92
Colorectal Adenocarcinoma,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00605670728988962,2.2177634145251557,2.2177634145251557,33.3116724220915,33.3116724220915,9,9,0,2,,IFI6;IFIT3,Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,0.03154845333856695,0.010287817972159538,0.11764705882352941,0,1,0,0.2857142857142857,0.10667755522263961,10.67
Fgfr-Specific Pd173074 Inhibitor,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00121032123461591,2.9170993471169964,2.9170993471169964,47.8288302423669,47.8288302423669,10,10,0,1,,IFIT3,FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244,0.05612202027665334,0.019981339770551113,0.14705882352941177,0,1,0,0.14285714285714285,0.10537037782692717,10.54
Ethanol,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00800598211941887,2.0965853841842472,2.0965853841842472,30.2101963095344,30.2101963095344,9,9,0,2,,IFIT3;IRF7,ethanol DB00898 mouse GSE52644 sample 3476,0.027290447563042584,0.008216873598855711,0.11764705882352941,0,1,0,0.2857142857142857,0.10509531768543257,10.51
Heregulin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00149575364336996,2.8251399306262854,2.8251399306262854,44.8034457094895,44.8034457094895,10,10,0,1,,IFIT2,Heregulin 56310950 human GSE22288 sample 3215,0.05289071072796933,0.017961203922953955,0.14705882352941177,0,1,0,0.14285714285714285,0.10405751647785688,10.41
Dasatinib,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.00154558220726834,2.8109078904948706,2.8109078904948706,44.2300884594371,44.2300884594371,10,10,0,1,,IFI6,dasatinib DB01254 human GSE59357 sample 3306,0.0523906191774913,0.01757835687600056,0.14705882352941177,0,1,0,0.14285714285714285,0.10383678182849901,10.38
Progesterone,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,7.5716752712378e-4,3.120808020029642,3.120808020029642,70.1878787528359,70.1878787528359,8,8,0,1,,IRF7,progesterone 5994 rat GSE8238 sample 3526,0.06328002328550095,0.03491111643970179,0.08823529411764706,0,1,0,0.14285714285714285,0.10206879333466204,10.21
Cpc010 Vcap 24h-Medroxyprogesterone-10.0,Candidate_drug_or_compound,1,LINCS L1000 chemical perturbations (down),1,0.0117067542068027,1.9315634999295714,1.9315634999295714,273.88554362461,273.88554362461,5,5,0,0,,,CPC010 VCAP 24H-medroxyprogesterone-10.0,0.021491837581781723,0.1709258776733539,0,0,1,0,0,0.09810442881378391,9.81
Vanadium Pentoxide,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0364490503080768,1.4383137828833157,1.4383137828833157,20.6069961243521,20.6069961243521,7,7,0,2,,IFIT2;IFIT3,VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554,0.0041598167686847905,0.0018045419646724667,0.058823529411764705,0,1,0,0.2857142857142857,0.0888860476665326,8.89
Fenretinide,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0160291217666561,1.7950902719280535,1.7950902719280535,24.1882788295515,24.1882788295515,9,9,0,1,,IFI6,fenretinide DB05076 human GSE17480 sample 2529,0.016696382569019872,0.004195866933294634,0.11764705882352941,0,1,0,0.14285714285714285,0.08715583548482232,8.72
Methylphenidate,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0207973886916515,1.6819911913834087,1.6819911913834087,24.0225770298985,24.0225770298985,8,8,0,1,,IFIT3,methylphenidate DB00422 human GSE52889 sample 3307,0.012722258407975327,0.004085223098815841,0.08823529411764706,0,1,0,0.14285714285714285,0.08172287878005914,8.17
Cobalt Dichloride Hexahydrate,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0288866212771969,1.5393032524265133,1.5393032524265133,21.0101568462001,21.0101568462001,8,8,0,1,,IRF7,Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3116,0.007708428207345133,0.0020737439182415525,0.08823529411764706,0,1,0,0.14285714285714285,0.07996655143475802,8
Carboplatin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0303171351710877,1.5183118399189732,1.5183118399189732,20.4683766371499,20.4683766371499,8,8,0,1,,IFI6,carboplatin DB00958 human GSE49577 sample 3176,0.006970822921617478,0.0017119817653888495,0.08823529411764706,0,1,0,0.14285714285714285,0.07969170957511293,7.97
Nicotinamide Riboside,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0349089759968986,1.4570628903843004,1.4570628903843004,19.1916836688406,19.1916836688406,8,8,0,1,,IFIT2,nicotinamide riboside 439924 mouse GSE62194 sample 3468,0.004818630976182014,8.594973279134257e-4,0.08823529411764706,0,1,0,0.14285714285714285,0.0789405404793852,7.89
Metformin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0144090614932568,1.8413643052077495,1.8413643052077495,25.2258062699829,25.2258062699829,9,9,0,0,,,metformin DB00331 human GSE33612 sample 2483,0.018322379463072667,0.0048886537022174515,0.11764705882352941,0,1,0,0,0.07344981711485195,7.34
Cpc011 Vcap 24h-Ftorafur-10.0,Candidate_drug_or_compound,1,LINCS L1000 chemical perturbations (down),1,0.0424800746298363,1.3718147289487714,1.3718147289487714,129.630971773682,129.630971773682,5,5,0,0,,,CPC011 VCAP 24H-ftorafur-10.0,0.0018231443956184482,0.0746029710778474,0,0,1,0,0,0.06910652886836646,6.91
Cpc020 Vcap 24h-Norethindrone-10.0,Candidate_drug_or_compound,1,LINCS L1000 chemical perturbations (down),1,0.0424640183392945,1.3719789112531895,1.3719789112531895,97.1407973904759,97.1407973904759,6,6,0,0,,,CPC020 VCAP 24H-norethindrone-10.0,0.0018289135040821215,0.05290835168221852,0.029411764705882353,0,1,0,0,0.06809608100245751,6.81
Dexamethasone,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0207973886916515,1.6819911913834087,1.6819911913834087,24.0225770298985,24.0225770298985,8,8,0,0,,,dexamethasone DB01234 human GSE34313 sample 2714,0.012722258407975327,0.004085223098815841,0.08823529411764706,0,1,0,0,0.06743716449434485,6.74
Angiotensin Ii,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0370339295326062,1.431400204132437,1.431400204132437,18.35921042419,18.35921042419,8,8,0,0,,,angiotensin II 172198 mouse GSE29145 sample 3216,0.003916884463480898,3.036311147399387e-4,0.08823529411764706,0,1,0,0,0.06429042301220227,6.43
Heroin,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,0.0370339295326062,1.431400204132437,1.431400204132437,20.2954676999775,20.2954676999775,7,7,0,0,,,heroin 5462328 mouse GSE30305 sample 2611,0.003916884463480898,0.0015965255188998546,0.058823529411764705,0,1,0,0,0.060201881907359894,6.02
